학교열쇠,학교명,학교급,시도,주소,등급,방법,위도,경도
7011144,학력인정 청암고등학교(2년제),평생학교(고)-2년6학기,서울,서울특별시 노원구 중계로 244,G,주소변환(Nominatim),37.6462131,127.0816428
7011145,학력인정 청암중학교(2년제),평생학교(중)-2년6학기,서울,서울특별시 노원구 중계로 244,G,주소변환(Nominatim),37.6462131,127.0816428
7011148,학력인정 한림실업고등학교(2년제),평생학교(고)-2년6학기,서울,서울특별시 송파구 충민로 172,G,주소변환(Nominatim),37.4848704,127.1334778
7011149,학력인정 한림연예예술고등학교,평생학교(고)-3년6학기,서울,서울특별시 송파구 충민로 172,G,주소변환(Nominatim),37.4848704,127.1334778
7011147,학력인정 한림중학교(2년제),평생학교(중)-2년6학기,서울,서울특별시 송파구 충민로 172,G,주소변환(Nominatim),37.4848704,127.1334778
7011146,학력인정 한림초등학교(4년제),평생학교(초)-3년6학기,서울,서울특별시 송파구 충민로6길 71,G,주소변환(Nominatim),37.4813771,127.1319817
7010473,한국구화학교,특수학교,서울,서울특별시 강동구 고덕로 295-59,G,주소변환(Nominatim),37.5546701,127.1505309
1342102,한국우진학교,특수학교,서울,서울특별시 마포구 월드컵북로38길 21,O,OSM 같은이름(유일) · 주소변환과 0.1km,37.5716409,126.9032985
7010474,한국육영학교,특수학교,서울,서울특별시 송파구 충민로6길 15,O,OSM 같은이름(유일) · 주소변환과 0.3km,37.4817802,127.1324929
7010722,한국제과학교,고등기술학교,서울,서울특별시 영등포구 여의대방로61길 42,G,주소변환(Nominatim),37.5151499,126.9232944
7010578,한빛맹학교,특수학교,서울,서울특별시 강북구 삼양로73가길 47,G,주소변환(Nominatim),37.6288677,127.0164587
local-8437840c6659,(가칭)에코1초등학교,초등학교,부산,부산광역시 북구 백양대로1016번다길 44,G,주소변환(Nominatim),35.1941061,128.9950809
local-917e9d7415eb,(가칭)에코3중학교,중학교,부산,부산광역시 북구 백양대로1016번다길 44,G,주소변환(Nominatim),35.1941061,128.9950809
local-93dec77e25c7,(가칭)일광3초등학교,초등학교,부산,부산광역시 기장군 일광읍 일광로 169,G,주소변환(Nominatim),35.2973003,129.2587708
7201269,가락중학교,중학교,부산,부산광역시 강서구 에코델타2로 24,B,공식·이름일치(주소 다름) · 주소변환과 0.0km,35.1423056947,128.9180233451
7201046,괘법초등학교,초등학교,부산,부산광역시 사상구 사상로161번길 8,O,OSM 같은이름(유일) · 주소변환과 0.1km,35.1598849,128.985982
7181021,대남초등학교,초등학교,부산,부산광역시 남구 황령대로 343번길 9-55,B,공식·이름일치(주소 다름),35.14885579,129.0972346
7201055,대사초등학교,초등학교,부산,부산광역시 강서구 낙동북로 73,B,공식·이름일치(주소 다름) · 주소변환과 4.6km 어긋남(이전 여부 확인),35.2204181114,128.9385486882
7171095,봉래초등학교,초등학교,부산,부산광역시 중구 대영로 226번길 15호,B,공식·이름일치(주소 다름),35.1113951433,129.0355665109
7150281,부산구화학교,특수학교,부산,부산광역시 남구 수영로123번길 54,X,못 찾음,,
7150351,부산국제영화고등학교,고등기술학교,부산,부산광역시 동구 고관로 68,O,OSM 같은이름(유일) · 주소변환과 0.3km,35.124709,129.044407
7150535,부산동암학교,특수학교,부산,부산광역시 연제구 톳고개로 50,O,OSM 같은이름(유일) · 주소변환과 0.1km,35.1808815,129.1018308
7150384,부산두레학교,특수학교,부산,부산광역시 연제구 고분로123번길 13-7,G,주소변환(Nominatim),35.1862373,129.0969223
7150276,부산맹학교,특수학교,부산,부산광역시 동래구 충렬사로67번길 56,O,OSM 같은이름(유일) · 주소변환과 0.1km,35.206699,129.0978048
7150277,부산배화학교,특수학교,부산,부산광역시 수영구 연수로310번길 73,O,OSM 같은이름(유일) · 주소변환과 0.2km,35.1693952,129.1036843
7150238,부산산업학교,각종학교(고),부산,부산광역시 사상구 백양대로768번길 64,G,주소변환(Nominatim),35.175645,128.9909837
7150432,부산성우학교,특수학교,부산,부산광역시 기장군 장안읍 대룡2길 45,X,못 찾음,,
7150376,부산솔빛학교,특수학교,부산,부산 사상구 백양대로 650 부산솔빛학교,X,못 찾음,,
7150673,부산예빛학교,각종학교(고),부산,부산광역시 기장군 일광면 이화로 147,D,"도로 수준(근사, Photon) — 건물을 못 찾아 도로 위치",35.2774353,129.2315517
7150744,부산온라인학교,각종학교(고),부산,부산광역시 북구 의성로47번길 45-4,G,주소변환(Nominatim),35.216559,129.0103017
7150403,부산은애학교,특수학교,부산,부산광역시 금정구 청룡예전로 107,G,주소변환(Nominatim),35.2766262,129.0899052
7150365,부산장안고등학교,고등학교,부산,부산광역시 기장군 장안읍 장안고길 8-16,B,공식·이름일치(주소 다름),35.3187590097,129.2361258074
7150360,부산천사의학교,특수학교,부산,부산광역시 사하구 오작로88번길 30,X,못 찾음,,
7150753,부산한별학교,특수학교,부산,부산광역시 강서구 에코델타5로 32,G,주소변환(Nominatim),35.1510516,128.9176498
7150547,부산한솔학교,특수학교,부산,부산광역시 강서구 명지오션시티2로 86,O,OSM 같은이름(유일) · 주소변환과 0.7km,35.0813559,128.8987321
7150548,부산해마루학교,특수학교,부산,부산광역시 기장군 정관읍 모전로 23,O,OSM 같은이름(유일) · 주소변환과 0.0km,35.340296,129.1658562
7150278,부산혜남학교,특수학교,부산,부산광역시 남구 진남로166번길 10-19,O,OSM 이름 변형(지역명·분교장 표기 차이) · 주소변환과 0.1km,35.1418975,129.0810894
7150279,부산혜성학교,특수학교,부산,부산광역시 남구 진남로166번길 10-9,G,주소변환(Nominatim),35.1414746,129.0804945
7150336,부산혜송학교,특수학교,부산,부산광역시 서구 천마로50번길 1,G,주소변환(Nominatim),35.081743,129.0239428
7150283,부산혜원학교,특수학교,부산,부산광역시 강서구 공항로 1319,G,주소변환(Nominatim),35.2144908,128.9884004
7201238,송정중학교,각종학교(중),부산,부산광역시 강서구 가락대로 230-72,G,주소변환(Nominatim),35.16393,128.8936133
7171071,신선초등학교,초등학교,부산,부산광역시 영도구 산정길 17,G,주소변환(Nominatim),35.0827491,129.0468414
7181048,신연초등학교,초등학교,부산,부산광역시 남구 유엔로35번길 46,X,못 찾음,,
7211063,신재초등학교,초등학교,부산,부산광역시 해운대구 해운대로81번길 81,B,공식·이름일치(주소 다름) · 주소변환과 0.2km,35.1917698776,129.1227741
7201210,신호중학교,중학교,부산,부산광역시 강서구 신호이로 76,B,공식·이름일치(주소 다름),35.082414257,128.8770923685
7201091,신호초등학교,초등학교,부산,부산광역시 강서구 신호이로75번길 12,B,공식·이름일치(주소 다름),35.0819695329,128.8785862265
7181054,연학초등학교,초등학교,부산,부산광역시 부산진구 초읍천로 43번길,B,공식·이름일치(주소 다름),35.1764062827,129.0466199633
7150676,장대현중고등학교,각종학교(고),부산,부산광역시 강서구 신호사로76번길 71,X,못 찾음,,
7201264,장대현중고등학교(중),각종학교(중),부산,부산광역시 강서구 신호산단4로76번길 71,G,주소변환(Nominatim),35.0833156,128.8812215
7191093,장서초등학교,초등학교,부산,부산광역시 금정구 금강로 453,B,공식·이름일치(주소 다름) · 주소변환과 1.9km,35.2480507332,129.0854915475
7150406,학력인정국제금융고등학교,평생학교(고)-3년6학기,부산,부산광역시 사하구 하신중앙로3번길 34,G,주소변환(Nominatim),35.0765127,128.9583101
7150439,학력인정국제금융고등학교(2년제),평생학교(고)-2년6학기,부산,부산광역시 사하구 하신중앙로3번길 34,G,주소변환(Nominatim),35.0765127,128.9583101
7150408,학력인정부경보건고등학교,평생학교(고)-3년6학기,부산,부산광역시 사하구 두송로 53,G,주소변환(Nominatim),35.0711519,128.9858492
7150443,학력인정부경보건고등학교(2년제),평생학교(고)-2년6학기,부산,부산광역시 사하구 두송로 53,G,주소변환(Nominatim),35.0711519,128.9858492
7150436,학력인정부경보건고등학교병설부경중학교(2년제),평생학교(중)-2년6학기,부산,부산광역시 사하구 두송로 53,G,주소변환(Nominatim),35.0711519,128.9858492
7150412,학력인정부산경호고등학교,평생학교(고)-3년6학기,부산,부산광역시 금정구 서금로 91-5,G,주소변환(Nominatim),35.2178378,129.1034874
7150440,학력인정부산경호고등학교(2년제),평생학교(고)-2년6학기,부산,부산광역시 금정구 서금로 91-5,G,주소변환(Nominatim),35.2178378,129.1034874
7150599,학력인정부산예원고등학교,평생학교(고)-3년6학기,부산,부산광역시 금정구 회천로13번길 60,G,주소변환(Nominatim),35.2256867,129.1143255
7150463,학력인정부산예원고등학교(2년제),평생학교(고)-2년6학기,부산,부산광역시 금정구 회천로13번길 60,G,주소변환(Nominatim),35.2256867,129.1143255
7150464,학력인정부산예원고등학교병설예원여자중학교(2년제),평생학교(중)-2년6학기,부산,부산광역시 금정구 회천로13번길 60,G,주소변환(Nominatim),35.2256867,129.1143255
7150409,학력인정부산조리고등학교,평생학교(고)-3년6학기,부산,부산광역시 사상구 낙동대로1390번길 65,G,주소변환(Nominatim),35.1836932,128.979111
7150740,학력인정부산조리고등학교(2년제),평생학교(고)-2년6학기,부산,부산광역시 사상구 낙동대로1390번길 65,G,주소변환(Nominatim),35.1836932,128.979111
7150400,한국과학영재학교,고등학교,부산,,B,공식·이름일치(주소 다름),35.1652001148,129.0257843961
7150163,혜화여자고등학교,고등학교,부산,부산광역시 동래구 명장로 99,B,공식·이름일치(주소 다름) · 주소변환과 0.8km,35.2031558911,129.11156149
7240197,대구광명학교,특수학교,대구,대구광역시 남구 성당로50길 33,G,주소변환(Nominatim),35.8550094,128.576578
7271057,대구남부초등학교,초등학교,대구,대구광역시 달서구 야외음악당로 15길,B,공식·이름일치(주소 다름),35.8441230966,128.5524346412
7240172,대구남양학교,특수학교,대구,대구광역시 수성구 무학로37안길 6,G,주소변환(Nominatim),35.8335921,128.6290271
7240198,대구덕희학교,특수학교,대구,대구광역시 남구 성당로50길 33,G,주소변환(Nominatim),35.8550094,128.576578
7240199,대구보건학교,특수학교,대구,대구광역시 남구 성당로50길 33,G,주소변환(Nominatim),35.8550094,128.576578
7240200,대구보명학교,특수학교,대구,대구광역시 남구 성당로50길 33,G,주소변환(Nominatim),35.8550094,128.576578
8862036,대구부계초등학교석산캠퍼스,초등학교,대구,대구광역시 군위군 삼국유사면 삼국유사로 1314,D,"도로 수준(근사, Photon) — 건물을 못 찾아 도로 위치",36.1281191,128.7803553
7240201,대구선명학교,특수학교,대구,대구광역시 동구 팔공산로 225,G,주소변환(Nominatim),35.9601318,128.6956879
7240173,대구성보학교,특수학교,대구,대구광역시 북구 동북로71길 9-45,G,주소변환(Nominatim),35.8900245,128.6284665
7240361,대구세명학교,특수학교,대구,대구광역시 달서구 새방로 62,O,OSM 같은이름(유일) · 주소변환과 0.4km,35.8632498,128.5243301
7240202,대구영화학교,특수학교,대구,대구광역시 남구 성당로50길 33,G,주소변환(Nominatim),35.8550094,128.576578
7240395,대구예담학교,각종학교(고),대구,대구광역시 달서구 구마로21길 36,O,OSM 같은이름(유일) · 주소변환과 0.0km,35.8394141,128.5400494
7240451,대구예아람학교,특수학교,대구,대구광역시 달성군 옥포읍 비슬로 1934,G,주소변환 — OSM 같은이름은 3.7km 떨어져 버림,35.7911379,128.4735207
7240496,대구온라인학교,각종학교(고),대구,대구광역시 서구 달구벌대로 1747-1,G,주소변환(Nominatim),35.8622524,128.5721394
8862013,대구우보초등학교,초등학교,대구,대구광역시 군위군 우보면 이화길 95,O,OSM 이름 변형(지역명·분교장 표기 차이) · 주소변환과 0.0km,36.1950274,128.6608188
7240455,대구이룸고등학교,특수학교,대구,대구광역시 북구 복현로8길 16-54,G,주소변환(Nominatim),35.8962326,128.6255506
7240463,대구해올고등학교,특수학교,대구,대구광역시 달서구 야외음악당로 42,G,주소변환(Nominatim),35.8559087,128.5627378
8862007,의흥중학교,중학교,대구,대구광역시 군위군 의흥면 읍내길 89-32,G,주소변환(Nominatim),36.1742738,128.7217795
7240270,학력인정한남중미용정보고등학교,평생학교(고)-2년6학기,대구,대구광역시 달성군 화원읍 비슬로 2614-18,D,도로 수준(근사) — 건물번호를 못 찾아 도로 위치,35.8059821,128.5057034
7240277,학력인정한남중학교,평생학교(중)-2년6학기,대구,대구광역시 달성군 화원읍 비슬로 2614-18,D,도로 수준(근사) — 건물번호를 못 찾아 도로 위치,35.8059821,128.5057034
7240276,한남중미용정보고등학교,평생학교(고)-3년6학기,대구,대구광역시 달성군 화원읍 비슬로 2614-18,D,도로 수준(근사) — 건물번호를 못 찾아 도로 위치,35.8059821,128.5057034
local-0b4326d465e1,검단3고등학교(설립예정),고등학교,인천,인천광역시 검단구 고산후로310번길 16,X,못 찾음,,
7310629,결마루미래학교,각종학교(고),인천,인천광역시 남동구 문화로169번길 73,G,주소변환(Nominatim),37.4553712,126.6967521
local-3833171b73a5,결마루미래학교(중),각종학교(중),인천,인천광역시 남동구 문화로169번길 73,G,주소변환(Nominatim),37.4553712,126.6967521
7341279,구월여자중학교부설방송통신중학교,방송통신중학교,인천,인천광역시 남동구 성말로13번길 78,H,본교(구월여자중학교) 좌표,37.4485455406,126.7027391481
local-6fa0a11c5fd9,미단초등학교(개교예정),초등학교,인천,인천광역시 영종구 예단포3로 2,G,주소변환(Nominatim),37.5295472,126.5060574
7310338,미추홀학교,특수학교,인천,인천광역시 남동구 수현로136번길 16,O,OSM 같은이름(유일) · 주소변환과 0.1km,37.464905,126.7399469
7310075,서인천고등학교,고등학교,인천,인천광역시 서해구 서곶로 587,B,공식·이름일치(주소 다름) · 주소변환과 1.0km,37.5610834397,126.6757710234
7310630,세계로국제중고등학교,각종학교(고),인천,인천광역시 남동구 논현고잔로 215,G,주소변환(Nominatim),37.3860522,126.7110693
local-16f99698310c,세계로국제중고등학교(중),각종학교(중),인천,인천광역시 남동구 논현고잔로 215,G,주소변환(Nominatim),37.3860522,126.7110693
7351069,승영중학교,중학교,인천,인천광역시 강화군 삼산면 삼산북로 473,B,공식·이름일치(주소 다름) · 주소변환과 1.7km,37.7016753181,126.3187693328
7310055,연평고등학교,고등학교,인천,인천광역시 옹진군 연평면 연평로 137번길,B,공식·이름일치(주소 다름),37.66412851,125.70102328
7321079,연평중학교,중학교,인천,인천광역시 옹진군 연평면 연평로 137번길,B,공식·이름일치(주소 다름),37.6641242093,125.70102328
7310083,인성여자고등학교,고등학교,인천,인천광역시 제물포구 홍예문로 39 인성여자고등학교 (22315),B,공식·이름일치(주소 다름),37.4739458,126.624248
7361341,인천검단가온중학교,중학교,인천,인천광역시 검단구 동화시로 122,G,주소변환(Nominatim),37.6091811,126.6964444
7361337,인천검단호수초등학교,초등학교,인천,인천광역시 검단구 독정로324번길 26,B,공식·이름일치(주소 다름),37.6088514397,126.6834777203
7321238,인천달빛초등학교,초등학교,인천,인천광역시 영종구 은하수로 124,B,공식·이름일치(주소 다름) · 주소변환과 6.1km 어긋남(이전 여부 확인),37.4839703836,126.502062156
7310245,인천산업정보학교,각종학교(고),인천,인천광역시 제물포구 금창로 31,O,OSM 같은이름(유일) · 주소변환과 0.1km,37.4718246,126.6410511
7310555,인천서희학교,특수학교,인천,인천광역시 검단구 독정로 44-4,O,OSM 같은이름(유일) · 주소변환과 0.4km,37.5841198,126.6830556
7310152,인천성동학교,특수학교,인천,인천광역시 부평구 경인로 880,G,주소변환 — OSM 같은이름은 3.1km 떨어져 버림,37.4832493,126.7540153
7310150,인천연일학교,특수학교,인천,인천광역시 연수구 함박뫼로 208,O,OSM 같은이름(유일) · 주소변환과 0.0km,37.4204931,126.6884557
7310154,인천예림학교,특수학교,인천,인천광역시 부평구 동수로 87,G,주소변환(Nominatim),37.4858309,126.7373111
7310620,인천온라인학교,각종학교(고),인천,인천광역시 부평구 굴포로 59,G,주소변환(Nominatim),37.5117309,126.7288405
7310642,인천운남고등학교,고등학교,인천,인천광역시 영종구 찬들로284번길 30,B,공식·이름일치(주소 다름) · 주소변환과 0.1km,37.48314685,126.5419036
7321236,인천윤슬초등학교,초등학교,인천,인천광역시 영종구 영종대로278번길 27,B,공식·이름일치(주소 다름) · 주소변환과 0.1km,37.48426206,126.5020588
7310155,인천은광학교,특수학교,인천,인천광역시 부평구 마분로 8,G,주소변환(Nominatim),37.4851139,126.7380237
7310151,인천인혜학교,특수학교,인천,인천광역시 계양구 장제로 1304,O,OSM 같은이름(유일) · 주소변환과 1.0km,37.5785082,126.7317654
local-c4b2a5d7537e,인천정화초등학교(개교예정),초등학교,인천,인천광역시 서해구 서곶로 144,G,주소변환(Nominatim),37.5701223,126.6765741
7321065,인천주안남초등학교승봉분교장,초등학교,인천,인천광역시 옹진군 자월면 승봉로67번길 43-18,O,OSM 이름 변형(지역명·분교장 표기 차이),37.1706501,126.2967955
7310446,인천청담고등학교,각종학교(고),인천,인천광역시 연수구 앵고개로 132,G,주소변환(Nominatim),37.4086206,126.6468228
7310474,인천청선학교,특수학교,인천,인천광역시 남동구 인주대로914번길 16,G,주소변환(Nominatim),37.4457741,126.7382373
7310477,인천청인학교,특수학교,인천,인천광역시 미추홀구 숙골로135번길 14,O,OSM 같은이름(유일) · 주소변환과 0.1km,37.4738985,126.6588195
