시도,수요기관,계약명,계약일,금액,업체명,구분,태그
경남,경상남도교육청 경상남도김해교육지원청,2025학년도 AI디지털교과서 서비스 공급용역(1학기 구독료),2025-10-10,51231490,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시군위교육지원청,2025학년도 2학기 AI 디지털교육자료 이용(중등수학),2025-10-14,2291760,(주)비상교육,기술용역,비상교육 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시군위교육지원청,2025학년도 2학기 AI 디지털교육자료 이용(초등 수학·영어),2025-10-14,2244400,주식회사 와이비엠,기술용역,YBM AI·디지털 교육자료
대구,대구광역시교육청 대구광역시군위교육지원청,2025학년도 2학기 AI 디지털교육자료 이용(중등 수학·영어),2025-10-14,2264220,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시군위교육지원청,2025학년도 2학기 AI 디지털교육자료 이용(초등수학),2025-10-14,3267420,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시달성교육지원청,2025학년도 달성교육지원청 AI 디지털교과서 구독 용역 계약(와이비엠_초등 수학),2025-10-14,8801500,주식회사 와이비엠,기술용역,YBM AI·디지털 교육자료
대구,대구광역시교육청 대구광역시달성교육지원청,2025학년도 달성교육지원청 AI 디지털교과서 구독 용역 계약(천재교과서_초등 수학),2025-10-14,248231960,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시남부교육지원청,2025학년도 초등학교 AI 디지털교과서 공급(천재교과서)(영어),2025-09-30,172814310,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시남부교육지원청,2025학년도 중학교 AI 디지털교과서 공급(천재교과서),2025-09-30,101808750,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시남부교육지원청,2025학년도 중학교 AI 디지털교과서 4월 수시선정분 공급(천재교과서),2025-09-30,10488760,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 1학기 AI디지털교과서 공급 계약(중등),2025-09-30,30660000,(주)교학사,기술용역,교학사 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 1학기 AI디지털교과서 공급 계약(중등),2025-09-30,177395600,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 1학기 AI디지털교과서 공급 계약(초등),2025-09-30,236143230,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시남부교육지원청,2025학년도 중학교 AI 디지털교과서 공급(교학사),2025-09-30,11340000,(주)교학사,기술용역,교학사 AI·디지털 교육자료
충북,충청북도교육청,2025학년도 1학기 AI 디지털교과서 구독 용역,2025-10-01,171601630,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시달성교육지원청,2025학년도 달성교육지원청 AI 디지털교과서 구독 용역 계약(와이비엠_초등 수학),2025-10-14,8801500,주식회사 와이비엠,기술용역,YBM AI·디지털 교육자료
대구,대구광역시교육청 대구광역시달성교육지원청,2025학년도 달성교육지원청 AI 디지털교과서 구독 용역 계약(교학사_중등 수학),2025-09-30,4675230,(주)교학사,기술용역,교학사 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시남부교육지원청,2025학년도 초등학교 AI 디지털교과서 공급(천재교육),2025-09-30,10263750,(주)천재교육,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시달성교육지원청,2025학년도 달성교육지원청 AI 디지털교과서 구독 용역 계약(천재교육_초등 영어),2025-09-30,1522500,(주)천재교육,기술용역,천재교과서 AI·디지털 교육자료
경남,경상남도교육청 경상남도거창교육지원청,2025학년도 1학기 AI 디지털 교과서 서비스 공급 용역,2025-10-14,4841750,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시달성교육지원청,2025학년도 달성교육지원청 AI 디지털교과서 구독 용역 계약(천재교과서_초등 수학),2025-10-14,248231960,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 1학기 AI디지털교과서 공급 계약(초등),2025-09-30,1575000,(주)천재교육,기술용역,천재교과서 AI·디지털 교육자료
경남,경상남도교육청 경상남도거창교육지원청,2025학년도 1학기 AI 디지털 교과서 서비스 공급 용역,2025-10-14,4841750,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
경남,경상남도교육청 경상남도김해교육지원청,2025학년도 AI디지털교과서 서비스 공급용역(1학기 구독료),2025-10-10,51231490,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
경기,경기도교육청,2025 하이러닝 최소 성취수준 보장지도 수학 콘텐츠 제작 용역,2025-10-14,47960000,ckdal,기술용역,하이러닝
대구,대구광역시교육청 대구광역시남부교육지원청,2025학년도 초등학교 AI 디지털교과서 공급(아이스크림미디어),2025-09-30,1260000,주식회사 아이스크림미디어,기술용역,아이스크림미디어 AI·디지털 교육자료
강원,강원특별자치도교육청 강원특별자치도영월교육지원청,2025학년도 1학기 AI 디지털 교과서 서비스 공급 용역(천재교과서 초등 6개월),2025-10-15,3400290,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 2학기 AI 디지털교육자료 공급 계약(동아출판 초등),2025-10-01,28584090,동아출판(주),기술용역,동아출판 AI·디지털 교육자료
강원,강원특별자치도교육청 강원특별자치도영월교육지원청,2025학년도 1학기 AI 디지털 교과서 서비스 공급 용역(천재교과서 초등 6개월),2025-10-15,3400290,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 2학기 AI 디지털교육자료 공급 계약(동아출판 중등),2025-10-01,122055660,동아출판(주),기술용역,동아출판 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 2학기 AI 디지털교육자료 공급 계약(와이비엠 초등),2025-10-01,156186370,주식회사 와이비엠,기술용역,YBM AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 2학기 AI 디지털교육자료 공급 계약(와이비엠 중등),2025-10-01,27042510,주식회사 와이비엠,기술용역,YBM AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 2학기 AI 디지털교육자료 공급 계약(천재교과서 초등),2025-10-01,741128440,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 2학기 AI 디지털교육자료 공급 계약(천재교과서 중등),2025-10-01,157607690,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 2학기 AI 디지털교육자료 공급 계약(아이스크림미디어 초등),2025-10-01,9119610,주식회사 아이스크림미디어,기술용역,아이스크림미디어 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 2학기 AI 디지털교육자료 공급 계약(천재교육 초등),2025-10-01,1835250,(주)천재교육,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 2학기 AI 디지털교육자료 공급 계약(교학사 중등),2025-10-01,29696240,(주)교학사,기술용역,교학사 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 2학기 AI 디지털교육자료 공급 계약(미래엔 중등),2025-10-01,16327350,주식회사 미래엔,기술용역,미래엔 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 2학기 AI 디지털교육자료 공급 계약(비상교육 중등),2025-10-01,207191380,(주)비상교육,기술용역,비상교육 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 2학기 AI 디지털교육자료 공급 계약(엔이능률 중등),2025-10-01,8680010,주식회사 엔이능률,기술용역,NE능률 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 1학기 AI 디지털교과서 공급 계약(초등),2025-10-15,41490000,주식회사 와이비엠,기술용역,YBM AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 1학기 AI 디지털교과서 공급 계약(초등),2025-10-15,589812870,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 1학기 AI 디지털교과서 공급(수시선정),2025-10-15,2262000,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시달성교육지원청,2025학년도 2학기 AI 디지털교육자료 공급 용역 계약(천재교육_초등),2025-10-01,1370320,(주)천재교육,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시달성교육지원청,2025학년도 2학기 AI 디지털교육자료 공급 용역 계약(와이비엠_초등),2025-10-01,43609310,주식회사 와이비엠,기술용역,YBM AI·디지털 교육자료
대구,대구광역시교육청 대구광역시달성교육지원청,2025학년도 2학기 AI 디지털교육자료 공급 용역 계약(천재교과서_초등),2025-10-01,235721720,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시달성교육지원청,2025학년도 2학기 AI 디지털교육자료 공급 용역 계약(천재교과서_중등),2025-10-01,58008280,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시달성교육지원청,2025학년도 2학기 AI 디지털교육자료 공급 용역 계약(동아출판_중등),2025-10-01,59387040,동아출판(주),기술용역,동아출판 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시달성교육지원청,2025학년도 2학기 AI 디지털교육자료 공급 용역 계약(교학사_중등),2025-10-01,5330810,(주)교학사,기술용역,교학사 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시달성교육지원청,2025학년도 2학기 AI 디지털교육자료 공급 용역 계약,2025-10-01,11303550,주식회사 미래엔,기술용역,미래엔 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시달성교육지원청,2025학년도 2학기 AI 디지털교육자료 공급 용역 계약(비상교육_중등),2025-10-01,76974000,(주)비상교육,기술용역,비상교육 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시달성교육지원청,2025학년도 2학기 AI 디지털교육자료 공급 용역 계약(엔이능률_중등),2025-10-01,13536350,주식회사 엔이능률,기술용역,NE능률 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 1학기 AI 디지털교과서 공급 계약(초등),2025-10-15,41490000,주식회사 와이비엠,기술용역,YBM AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 1학기 AI 디지털교과서 공급 계약(초등),2025-10-15,589812870,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 1학기 AI 디지털교과서 공급(수시선정),2025-10-15,2262000,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시군위교육지원청,2025학년도 AI 디지털교과서 구입(초등영어),2025-09-30,2677500,동아출판(주),기술용역,동아출판 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시군위교육지원청,2025학년도 AI 디지털교과서 구입(초등영어),2025-09-30,669270,주식회사 와이비엠,기술용역,YBM AI·디지털 교육자료
대구,대구광역시교육청 대구광역시군위교육지원청,2025학년도 AI 디지털교과서 구입(중등수학),2025-09-30,2362500,(주)비상교육,기술용역,비상교육 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시군위교육지원청,2025학년도 AI 디지털교과서 구입(중등 수학·영어),2025-09-30,2306250,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시군위교육지원청,2025학년도 AI 디지털교과서 구입(초등수학),2025-09-30,4841750,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시서부교육지원청,2025학년도 1학기 AI디지털교과서 구독료 용역(중등),2025-09-30,3090000,주식회사 지학사,기술용역,지학사 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시서부교육지원청,2025학년도 1학기 AI디지털교과서 구독료 용역(중등),2025-09-30,12705330,주식회사 엔이능률,기술용역,NE능률 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시서부교육지원청,2025학년도 1학기 AI디지털교과서 구독료 용역(중등),2025-09-30,115478760,(주)비상교육,기술용역,비상교육 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시서부교육지원청,2025학년도 1학기 AI디지털교과서 구독료 용역(중등),2025-09-30,44489240,주식회사 미래엔,기술용역,미래엔 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시서부교육지원청,2025학년도 1학기 AI디지털교과서 구독료 용역계약(중등),2025-09-30,10950000,(주)교학사,기술용역,교학사 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시서부교육지원청,2025학년도 1학기 AI디지털교과서 구독료 용역(초등),2025-09-30,6772500,(주)천재교육,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시서부교육지원청,2025학년도 1학기 AI디지털교과서 구독료 용역(초등),2025-09-30,7458750,주식회사 아이스크림미디어,기술용역,아이스크림미디어 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시서부교육지원청,2025학년도 1학기 AI디지털교과서 구독료 용역(중등),2025-09-30,7369200,주식회사 와이비엠,기술용역,YBM AI·디지털 교육자료
대구,대구광역시교육청 대구광역시서부교육지원청,2025학년도 1학기 AI디지털교과서 구독료 용역(초등 영어),2025-09-30,74665440,주식회사 와이비엠,기술용역,YBM AI·디지털 교육자료
대구,대구광역시교육청 대구광역시서부교육지원청,2025학년도 1학기 AI디지털교과서 구독료 용역(초등),2025-09-30,16301250,동아출판(주),기술용역,동아출판 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시서부교육지원청,2025학년도 1학기 AI디지털교과서 구독료 용역(중등),2025-09-30,90838220,동아출판(주),기술용역,동아출판 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시서부교육지원청,2025학년도 1학기 AI디지털교과서 구독료 용역(초등 영어 11개월),2025-09-30,2727640,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시서부교육지원청,2025학년도 1학기 AI디지털교과서 구독료 용역(초등 영어),2025-09-30,136366980,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
