등급,업체명(표기 변형),제품·근거,전체 건수,제품 태그 없는 건수
A 업체명=제품명,Zoom Video Communications Inc. / zoom video communications inc.,Zoom,14,9
A 업체명=제품명,주식회사 슈퍼스쿨,슈퍼스쿨,65,8
A 업체명=제품명,CLAUDE / claude,Claude,22,8
A 업체명=제품명,WORDWALL / Wordwall / wordwall,Wordwall,25,8
A 업체명=제품명,키드키즈,키드키즈,9,8
A 업체명=제품명,엘리스쿨,엘리스,20,7
A 업체명=제품명,KCP-결제-Adobe,Adobe,17,7
A 업체명=제품명,클라우드,클래스룸.클라우드(classroom.cloud),9,7
A 업체명=제품명,주식회사 클라비,클라비,8,7
A 업체명=제품명,(주)트라이디스,트라이디스,26,6
A 업체명=제품명,이엠스쿨,아이엠스쿨,6,6
A 업체명=제품명,메가클래스 주식회사,메가클래스,5,5
A 업체명=제품명,쿨메신저,쿨메신저,142,3
A 업체명=제품명,주식회사 매쓰홀릭,매쓰홀릭T,11,3
A 업체명=제품명,클래시파이랩스,클래시파이,6,3
A 업체명=제품명,GAMMA.APP,Gamma,6,3
A 업체명=제품명,(주)스쿨닥터 / 스쿨닥터,스쿨닥터,117,2
A 업체명=제품명,주식회사 슈퍼스쿨이노베이션,슈퍼스쿨,14,2
A 업체명=제품명,(주)밀리의서재,밀리의서재,5,2
A 업체명=제품명,(주)금성출판사,금성출판사 AI·디지털 교육자료,33,1
A 업체명=제품명,Zoom Video Communications,Zoom,5,1
A 업체명=제품명,PADLET / PADLET(패들렛) / Padlet / Padlet(패들렛) / padlet / padlet(패들렛),Padlet,538,0
A 업체명=제품명,Adobe / Adobe(어도비) / adobe,Adobe,164,0
A 업체명=제품명,OPENAI *CHATGPT SUBSCR / OPENAI*CHATGPT SUBSCR,ChatGPT,92,0
A 업체명=제품명,PADLET* PADLET SOFTWAR / PADLET*PADLET SOFTWAR / PADLET*PADLETSOFTWAR,Padlet,103,0
A 업체명=제품명,CHATGPT SUBSCRIPTION,ChatGPT,48,0
A 업체명=제품명,CHAT GPT / CHATGPT / Chat GPT / Chat GPT (생성형 인공지능) / ChatGPT / chatGPT / chatgpt,ChatGPT,96,0
A 업체명=제품명,OPENAI *CHATGPT,ChatGPT,28,0
A 업체명=제품명,(주)지학사 / 주식회사 지학사,지학사 AI·디지털 교육자료,34,0
A 업체명=제품명,PADLET SOFTWAR,Padlet,25,0
A 업체명=제품명,CLAUDE.AI SUBSCRIPTION,Claude,23,0
A 업체명=제품명,주식회사 리로스쿨,리로스쿨,21,0
A 업체명=제품명,PADLET SOFTWARE,Padlet,19,0
A 업체명=제품명,PADLET.COM,Padlet,16,0
A 업체명=제품명,주)리딩게이트,리딩게이트,12,0
A 업체명=제품명,PADLET* PADLET SOFTWARE / PADLET*PADLET SOFTWARE,Padlet,17,0
A 업체명=제품명,CLAUDE.AI,Claude,9,0
A 업체명=제품명,PADLET* PADLET SOFTWOR,Padlet,8,0
A 업체명=제품명,Open AI ChatGPT / openAIchatGPT(챗지피티),ChatGPT,13,0
A 업체명=제품명,ZOOM US,Zoom,7,0
A 업체명=제품명,(주)북레일 / 주식회사 북레일,북레일,12,0
A 업체명=제품명,Microsoft,Microsoft Copilot,6,0
A 업체명=제품명,반디캠캠퍼니 유한회사,반디캠,5,0
A 업체명=제품명,Zoom Video Communications Inc,Zoom,5,0
A 업체명=제품명,SUNO INC.,Suno,5,0
A 업체명=제품명,PADLET* PADLED SOFTWAR,Padlet,5,0
A 업체명=제품명,Adobe Systems Software Ireland Ltd,Adobe,5,0
B 제조·개발사,주식회사 한국크레아,전자칠판 제조,1047,1046
B 제조·개발사,주식회사 아하,전자칠판 제조,826,823
B 제조·개발사,(주)아하,전자칠판 제조,768,766
B 제조·개발사,(주)스마트엑세스,넷서포트 스쿨 국내 총판,661,655
B 제조·개발사,(주)오맥스,넷서포트 스쿨 총판,467,461
B 제조·개발사,이솔정보통신 주식회사,전자칠판 제조,405,404
B 제조·개발사,(주)로보메이션,햄스터로봇 개발,509,348
B 제조·개발사,마타에듀 주식회사,마타수학 개발,673,304
B 제조·개발사,(주)현대아이티,전자칠판 제조,284,283
B 제조·개발사,주식회사 이노소프트,하드보안관 개발,376,270
B 제조·개발사,(주)에어패스,XR스크린 제조,271,268
B 제조·개발사,주식회사 에누마코리아,토도한글 개발,671,264
B 제조·개발사,주식회사 비주얼캠프,리드포스쿨 개발,302,244
B 제조·개발사,주식회사 제로엑스플로우,원아워 개발,401,243
X 유통·재판매(제외 권고),주식회사 에스인,최다 태그 와콤 56건 — 여러 제품을 유통,4698,4632
X 유통·재판매(제외 권고),주식회사 케이에스리테일,최다 태그 와콤 406건 — 여러 제품을 유통,3026,2452
X 유통·재판매(제외 권고),더모은,최다 태그 와콤 15건 — 여러 제품을 유통,661,638
X 유통·재판매(제외 권고),아이티존(주),최다 태그 ChatGPT 2066건 — 여러 제품을 유통,3768,597
X 유통·재판매(제외 권고),주식회사 이제이정보시스템,최다 태그 AI·디지털 교육자료 1건 — 여러 제품을 유통,592,591
X 유통·재판매(제외 권고),삼성전자주식회사,최다 태그 AI·디지털 교육자료 2건 — 여러 제품을 유통,592,589
X 유통·재판매(제외 권고),(주)벧엘씨앤씨,최다 태그 Windows 4건 — 여러 제품을 유통,590,585
X 유통·재판매(제외 권고),(주)삼보컴퓨터,최다 태그 쿨메신저 1건 — 여러 제품을 유통,561,560
X 유통·재판매(제외 권고),모닝정보기술,최다 태그 와콤 14건 — 여러 제품을 유통,566,544
X 유통·재판매(제외 권고),비더비즈,최다 태그 와콤 212건 — 여러 제품을 유통,705,481
X 유통·재판매(제외 권고),주식회사 퓨너스,최다 태그 레고 에듀케이션 1012건 — 여러 제품을 유통,1531,436
X 유통·재판매(제외 권고),아이씨뱅큐(주),최다 태그 마이크로비트 303건 — 여러 제품을 유통,661,342
X 유통·재판매(제외 권고),한국문구삼성교재도매상사,최다 태그 햄스터로봇 758건 — 여러 제품을 유통,1144,327
X 유통·재판매(제외 권고),주식회사 삼보컴퓨터,최다 태그 Windows 2건 — 여러 제품을 유통,323,320
X 유통·재판매(제외 권고),아이피스,최다 태그 메타퀘스트 147건 — 여러 제품을 유통,517,311
X 유통·재판매(제외 권고),(주)다나와컴퓨터,최다 태그 쿨메신저 3건 — 여러 제품을 유통,299,296
X 유통·재판매(제외 권고),주식회사 트리엠,최다 태그 쿨메신저 4건 — 여러 제품을 유통,273,267
X 유통·재판매(제외 권고),한국문구도매센타,최다 태그 햄스터로봇 394건 — 여러 제품을 유통,696,251
X 유통·재판매(제외 권고),정시스템,최다 태그 Windows 14건 — 여러 제품을 유통,272,249
X 유통·재판매(제외 권고),주식회사 후니테크,최다 태그 Adobe 575건 — 여러 제품을 유통,907,248
X 유통·재판매(제외 권고),스쿨투,최다 태그 마이크로비트 209건 — 여러 제품을 유통,526,243
X 유통·재판매(제외 권고),프롬에이,최다 태그 레고 에듀케이션 15건 — 여러 제품을 유통,266,243
X 유통·재판매(제외 권고),주식회사 씨티,최다 태그 클래스팅 657건 — 여러 제품을 유통,910,241
X 유통·재판매(제외 권고),YS전자(충북),최다 태그 와콤 12건 — 여러 제품을 유통,260,240
X 유통·재판매(제외 권고),주식회사 에이텍,최다 태그 쿨메신저 3건 — 여러 제품을 유통,240,236
