"과학고·특성화고 에듀테크 활용사례 DB (2023.1~2026.7, 웹 공개자료 기반)",,,,,,,,,,,
,,,,,,,,,,,
연번,학교명,학교유형,지역,제품/서비스명,제품 카테고리,활용 시기,활용 내용,출처 유형,출처 URL,신뢰도,비고
21,미림마이스터고등학교,마이스터고,서울,AI 코스웨어(제품명 미공개),AI 코스웨어,2023 2학기~,"글쓰기 수업 AI 코스웨어 도입, 학습데이터 기반 생활습관 지도(교육부 디지털 수업혁신 우수사례), 2025.4 오스트리아 교육시찰단 방문",언론보도,https://www.etnews.com/20240111000153,중,IT계열(뉴미디어)
22,수도전기공업고등학교,마이스터고,서울,KT AICE,AI 자격 학습·인증 플랫폼,2025~2026,"AICE 산학협동과정 참여, 학생 25명 AICE 베이직 응시 등 AI 역량·자격 교육",언론보도,https://www.hankyung.com/article/202607083308i,중,공업계(전기·에너지)
23,서울디지텍고등학교,특성화고,서울,와콤 신티크 프로 27,디지털 드로잉 실습장비,2024.5,"특성화고 최초 신티크 프로 27 전용 실습실 구축, 게임그래픽·캐릭터 디자인·애니메이션 수업",기업홍보,https://wacomkoreablog.com/1767,하,IT계열(게임콘텐츠)
24,경북드론고등학교,특성화고,경북 청도,"드론 모의비행 시뮬레이터, 교육용 무인멀티콥터",시뮬레이터·실습장비,2023.4,"교내 드론 전문교육기관(전국 최초)에서 모의비행 교육실 운영, 조종 자격 교육",언론보도,https://www.kyongbuk.co.kr/news/articleView.html?idxno=2128088,중,공업계(드론)
25,충북반도체고등학교,마이스터고,충북 음성,반도체 후공정 실습장비(EUV 노광 등),첨단 실습장비,2024.11 개관,38.8억 투입 혁신관 후공정 실습관에서 프로젝트 학습·기업 연계 기술 교육,언론보도,https://www.newsis.com/view/NISX20241105_0002947545,중,공업계(반도체)
26,서울로봇고등학교,마이스터고,서울,"협동로봇 실습실, 조리 로봇암, 3D프린팅 장비",로봇·3D프린팅 실습장비,2025.10 보도,"협동로봇 구조·제어 실습, 급식실 로봇암 실운용, 3D프린팅 로봇 부품 제작",언론보도,https://www.irobotnews.com/news/articleView.html?idxno=42699,중,공업계(로봇)
27,세명컴퓨터고등학교,특성화고,서울,"정보보호 특성화 교육(사이버가디언즈, 리버싱·포렌식·해킹 특강)",사이버보안 실습 교육,2023.3 보도,"실습 중심 정보보호 교육, BoB 연계 (CTF는 학생 개인 활동 수준으로 확인 — 2026.7.17 검증)",언론보도,https://m.boannews.com/html/detail.html?idx=114290,중,IT계열(정보보호)
28,선일빅데이터고등학교,특성화고,서울,빅데이터 마케팅 교과(전국 최초 개발)·데이터 분석 실습,빅데이터 교육과정,2024.12 보도,전국 최초 빅데이터 마케팅 교과 정규 편성 (MS Showcase School 선정은 2021~2022로 분석기간 외 — 2026.7.17 검증),언론보도,https://www.etnews.com/20241227000140,중,상업·정보계열
29,일신여자상업고등학교,특성화고,서울,AI·VR 면접 체험 시스템,AI/VR 취업역량 도구,2024.11 보도,교내 면접 준비실에서 AI·VR 기반 모의면접 체험,언론보도,https://www.etnews.com/20241108000028,중,상업계
30,경기자동차과학고등학교,특성화고,경기 시흥,하이러닝(경기도교육청),AI 교수학습 플랫폼,2024~2025(2025.6 보도),"디지털 선도학교로서 AI 튜터 맞춤 피드백·챗봇 진도관리, AR·VR 과학수업, 영어·한국사 프로젝트 수업 전면 활용",언론보도,https://www.newscj.com/news/articleView.html?idxno=3284463,중,공업계(자동차)
31,한봄고등학교,특성화고,경기 수원,생성형 AI·콘텐츠 제작 AI·데이터 분석 AI,생성형 AI 교육,2026.6 보도,"경기 미래형 직업교육 모델학교(AI융합형) 선정, AI 플랫폼 기업 10곳 연계 신기술 교육",언론보도,https://www.etnews.com/20260626000090,중,복합계열(뷰티·빅데이터 등)
32,경기게임마이스터고등학교,마이스터고,경기 안양,AI 게임개발 실무교육(에이엔게임즈 등 산학),직업교육 프로그램(AI/게임),2024.6,판교 게임기업 3사(에이엔게임즈·트라이펄게임즈·모들스튜디오)와 AI 게임개발 실무교육 산학협약(2023.5 PTW 협약 별도),언론보도,https://zdnet.co.kr/view/?no=20240627115758,중,IT계열(게임)
33,여주자영농업고등학교,특성화고,경기 여주,"스마트온실(센서·CO2 제어·생육예측 프로그램), 농업용 드론",스마트팜 실습 시스템,2025.5 보도,"AI·빅데이터·자동화 접목 스마트팜 교육과정, 학생이 생육예측 프로그램·제어장비 직접 운용",언론보도,https://www.kyeonggi.com/article/20250515580392,중,농생명계
34,수원농생명과학고등학교,특성화고,경기 수원,스마트팜 온실,스마트팜,2024.10 보도,"농업정보관리 과목 등 IT 융합 스마트 농업 교육, 스마트팜 온실 프로젝트 실습",언론보도,https://www.newscj.com/news/articleView.html?idxno=3188546,중,농생명계
35,익명 특성화고(C지역 공업계열),특성화고,비공개,ZEP(젭),메타버스 플랫폼,2024,메타버스 기반 취업 진로 프로그램(자기이해·직무탐색·모의면접) 9차시 개발·적용,학술논문,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003138224,상,컴퓨터교육학회논문지(2024)
36,익명 특성화고(C지역 공업계열),특성화고,비공개,"미리캔버스, 패들렛, 오토드로우, 구글 문서·설문지",콘텐츠 제작·협업 도구,2024,메타버스 진로 프로그램 내 포트폴리오 제작·의견 공유·설문 도구로 병행 활용,학술논문,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003138224,상,
37,"서울 직업계고 10개교→30개교(경기상업고, 서울공업고, 서울로봇고 등)",특성화고·마이스터고,서울,블록체인 DID 기반 스마트학생증 앱,디지털 학생증·학사관리 앱,2023,서울형 마이스터고 사업으로 전국 최초 블록체인 DID 스마트학생증 도입(1학기 10교→2학기 30교),교육청 자료,https://seouleducation.sen.go.kr/kr/board/speeches/boardView.do?bbsIdx=24838&pageIndex=1&searchCondition=&searchKeyword=,상,
38,서울시교육청 관내 직업계고,특성화고·마이스터고,서울,AI융합 진로직업교육원(신기술 교육장),신기술 실습 인프라,2023~,"반도체·디지털 등 신산업 실습 교육장 구축, 직업계고 교원 연수",교육청 자료,https://seouleducation.sen.go.kr/kr/board/speeches/boardView.do?bbsIdx=24838&pageIndex=1&searchCondition=&searchKeyword=,상,
39,서울 직업계고 다수(AX 중점 특성화고),특성화고·마이스터고,서울,"생성형 AI 도구, AR·VR 실감형 안전교육",AI·VR/AR 직업교육,2026.4 보도,"서울시교육청 K-직업교육: 생성형 AI 활용 교육, AR·VR 안전교육, AI 기반 현장실습 모니터링",언론보도,https://www.kedupress.com/news/article.html?no=415984,중,
40,서울 중·고등학교(특성화고 포함),전 학교급,서울,디벗(1인 1스마트기기)+차단 관리프로그램,스마트기기 보급·관리,2023.10(운영 개선 발표),"중·고 1인 1기기 보급, 과용 우려에 따른 운영 개선(학교 보관 활용)·유해사이트 차단 프로그램 적용",언론보도,https://www.etoday.co.kr/news/view/2295298,중,
41,"경기도 관내 초·중·고 2,640교(직업계고 포함)",전 학교급,경기,하이러닝(Hi-Learning),AI 교수학습 플랫폼,2023.9~현재,"운영 1년 만에 관내 97% 학교 활용, 2025년 AI 논술형 문항 생성·AIDT 통합인증 등 고도화",교육청 자료,https://www.goe.go.kr/goe/na/ntt/selectNttInfo.do?nttSn=1049108&mi=10102,상,2025 기본계획: goe.go.kr PDF
42,경기도 19개 직업계고(경기영상과학고 등),특성화고·마이스터고,경기,AI 기초 정규교과·AI 융합수업·캡스톤(플랫폼명 미공개),AI 교육 사업,2026.5~,"2026 직업계고 인공지능 역량 강화 사업 — 산업현장 과제 AI 해결 실전형 교육, 교원 연수",언론보도,https://www.kdsnnews.kr/30709,중,
43,전북 관내 초·중·고(특성화고 포함),전 학교급,전북,네이버 웨일 스페이스,LMS·수업도구,2023.10~,"전북교육청-네이버클라우드 MOU, 웨일 스페이스 기반 디지털 학습환경 구축",언론보도,https://www.segye.com/newsView/20231023512986,중,
44,전국 고1(과학고·특성화고 포함),전 학교급,전국,AI 디지털교과서(공통영어·공통수학·정보),AI 디지털교과서,2025.3~,"고1 영어·수학·정보에 AIDT 도입, 학습진단·수준별 맞춤학습·교사 대시보드",정부 자료,https://www.korea.kr/news/policyNewsView.do?newsId=148938440,상,엘리스(정보)·클래스팅(수학) 등 검정 합격
45,전국 특성화고·마이스터고,특성화고·마이스터고,전국,하이파이브(HiFive) 포털,취업지원·직업교육 정보 플랫폼,상시 운영,"학교·학과 정보, 취업지원, 직업교육 콘텐츠 제공 국가 포털(교육부)",정부 포털,https://www.hifive.go.kr/,상,
46,전국 초중고 다수(고교 포함),다수 학교,전국,젭 퀴즈(ZEP QUIZ),평가·퀴즈(AI 문제생성),2026.5 보도,"AI 영상·교안 기반 문제 자동 생성, 9,500여 개교·교사 8만 명 사용. KERIS 소프트랩 공모전 우수상(2026.2)은 별도 기사(mt.co.kr/industry/2026/02/23/2026022316441016609) 확인",언론보도·기업홍보,https://www.mt.co.kr/amp/industry/2026/05/14/2026051415403986381,하,고교 비중 미공개 / 2026.7.17 검증 완료
47,"전국 초중고 3,641개교(고교 포함)",다수 학교,전국,프리윌린 스쿨플랫·풀리스쿨,AI 코스웨어(수학),2025~,"교육청 단위 AI 코스웨어 활용, 서울·경남 디지털 교육 사업 참여",기업홍보,https://www.venturesquare.net/1032509,하,고교 비중 미공개
48,전국 200개교(중·고 중심),다수 학교,전국,튜링 수학대왕 CLASS,AI 코스웨어(수학),2025~2026,"학교 계약 200개교, 연구교사단 1기 교사 80명 운영(zdnet.co.kr/view/?no=20250513135108), 학습 리포트·실시간 첨삭",기업홍보,https://www.unicornfactory.co.kr/article/2026042310294695931,하,고교 비중 미공개
49,과학고 20개교 공동,과학고,전국,KAIST 공동AP 학사관리시스템(apscience),학사관리·LMS,운영 중(2025.10 보도 확인),과학기술특성화대 5개교-과학고 20개교 협약 기반 AP(대학과목선이수제) 온라인 수강·학사관리,공식 시스템,http://apscience.kaist.ac.kr/,상,영재학교용 apgifted와 별도 운영
50,인천과학고등학교,과학고,인천,리로스쿨(riroschool),진로진학·학생관리 플랫폼,운영 중(2026.7 확인),학교 전용 서브도메인 '인천과학고 진로진학사이트' 운영,학교 전용 플랫폼,https://iscience.riroschool.kr/,상,
51,인천과학고등학교,과학고,인천,"DBpia, 독서로(read365) 전자도서관",학술DB·전자도서관,운영 중(2026.7 확인),홈페이지 공식 퀵링크로 논문검색(R&E·과제연구 지원)·전자책 서비스 제공,학교 홈페이지,https://i-science.icehs.kr/main.do,상,
52,인천과학고등학교,과학고,인천,"Holapex(홀로그램 앱), 라이트봇(코딩 게임앱)",과학탐구·코딩 교육 앱,2023.4,학생 학술동아리의 초등생 대상 과학실험 교육봉사에서 홀로그램 구현·SW탐구 활용,언론보도,https://www.incheonin.com/news/articleView.html?idxno=95107,중,
53,인천진산과학고등학교,과학고,인천,"DBpia, 독서로 전자도서관, EBS 온라인클래스·EBSi",학술DB·전자도서관·온라인학습,운영 중(2026.7 확인),홈페이지 퀵링크로 논문검색·전자도서관·EBS 학습 연계,학교 홈페이지,https://ijss.icehs.kr/main.do,상,
54,인천진산과학고등학교,과학고,인천,리로스쿨(riroschool),진로진학·학생관리 플랫폼,2022.9 공지 확인,외부 공모전(빅콘테스트) 참가 신청 접수를 리로스쿨로 처리(학교 공지),학교 홈페이지 공지,http://ijss.icehs.kr/boardCnts/updateCnt.do?m=0202&action=view&boardID=35502&boardSeq=29897636&viewBoardID=35502&lev=0,중,2023년 이후 활용 직접 증거 미확인
55,인천과학예술영재학교,영재학교,인천,GPT킬러(무하유),AI 생성문서 탐지,2024.7 도입,"수행평가·독후감·대회 제출물의 챗GPT 작성 여부 판별, 학생 제출 전 자가검사로 학습윤리 교육",언론보도,https://zdnet.co.kr/view/?no=20240711163944,중,etnews.com/20240711000277 교차 확인
56,인천과학예술영재학교,영재학교,인천,카피킬러(무하유),표절검사·연구윤리 SW,운영 중(2026.7 확인),홈페이지 퀵메뉴에 카피킬러 상시 제공(보고서·연구물 표절검사),학교 홈페이지,https://iasa.icehs.kr/main.do,상,
57,인천과학예술영재학교,영재학교,인천,리로스쿨(riroschool),진로진학·학생관리 플랫폼,운영 중(2026.7 확인),홈페이지 퀵메뉴로 리로스쿨 연동(학사·진로진학 관리),학교 홈페이지,https://iasa.icehs.kr/main.do,상,
58,인천과학예술영재학교,영재학교,인천,"DBpia, 전자도서관 eBook·독서마일리지, IASA-Tube(자체 영상 플랫폼)",학술DB·전자도서관·자체 플랫폼,운영 중(2026.7 확인),"학술 원문 서비스(R&E·졸업연구 지원), 전자책 대출·독서마일리지, 교내 영상 공유 플랫폼",학교 홈페이지,https://iasa.icehs.kr/main.do,상,
59,대전과학고등학교,영재학교,대전,카피킬러 캠퍼스/스쿨(무하유),표절검사·AI탐지,운영 중(2026.7 확인),"학교 전용 서브도메인 운영 — 연구보고서·과제 표절검사 및 AI 탐지, CKPASS 면접연습 기능 안내",학교 전용 플랫폼,https://djshs.copykiller.com/,상,
60,대구일과학고등학교,과학고,대구,온라인 신입생 전형 시스템(롯데멀티미디어),입학전형 플랫폼,2023.8~현재,"온라인 원서·자기소개서·교사추천서 접수, 중학교 일괄조회, 수험표 출력",학교 전용 플랫폼,https://admission.dg1s.hs.kr/,상,언론: imaeil.com/page/view/2023052611283758547
61,대구일과학고등학교,과학고,대구,"DG1S 통합 웹사이트(자체 개발, 일곽위키 포함)",자체 개발 학생 통합 플랫폼,운영 중(2026 확인),"3D프린터·레이저커팅기 사용신청(장비예약), 기자재 지도, 동아리·교지 아카이브",학교 전용 플랫폼,https://dg1s.co.kr/,상,학생 개발·운영
62,경남과학고등학교,과학고,경남 진주,"NotebookLM, Gemini, Canvas 등 생성형 AI 도구",생성형 AI 교육,2026.5,경상국립대 AI융합원 연계 1학년 '생성형 AI 리터러시' 교육 — 프롬프트 엔지니어링·과학탐구 AI 활용,언론보도,https://www.veritas-a.com/news/articleView.html?idxno=611494,중,
63,경남과학고등학교,과학고,경남 진주,GSHS.app(학생 통합 플랫폼),자체 개발 학생 통합 플랫폼,운영 중(2026 확인),급식·시간표·학사일정·공지를 제공하는 학생 전용 통합 플랫폼(GSHS App Team 운영),학교 전용 플랫폼,https://gshs.app/landing,상,학생 개발·운영
64,경북과학고등학교,과학고,경북 포항,크롬북 + 구글 설문지·스프레드시트,디바이스·협업 도구,시기 미상(현행),"학생 크롬북 보급, 수행평가에 구글 설문지, 일일상황표를 구글 스프레드시트로 관리",커뮤니티 위키,https://namu.wiki/w/경북과학고등학교,하,비공식 출처(나무위키) — 재확인 필요
65,전북과학고등학교,과학고,전북 익산,JHC 원어민 화상영어(talking class),화상영어,2025.6~8,"가정통신문으로 원어민 화상영어 2기 모집 안내, 개별 신청 운영",학교 가정통신문,https://school.jbedu.kr/ejbs/M010204/view/6355267,상,
66,전북과학고등학교,과학고,전북 익산,보테미(botemi) 스마트러닝,온라인 학습 플랫폼,운영 중(2026.7 확인),홈페이지 퀵메뉴에 학교 전용 경로 스마트러닝 링크 게시,학교 홈페이지,https://school.jbedu.kr/ejbs,상,
67,전북과학고등학교,과학고,전북 익산,"YES24 전자책도서관, 오디언 오디오북, DBpia",전자도서관·오디오북·학술DB,운영 중(2026.7 확인),"학교 전용 서브도메인 전자책도서관(ejbs.yes24library.com), 오디오북, 논문검색 링크 상시 게시",학교 홈페이지,https://school.jbedu.kr/ejbs,상,
68,전북과학고등학교,과학고,전북 익산,"미리캔버스, 키위(Keewi, AI 글쓰기 평가), 퀴즈앤(Quizn)",콘텐츠 제작·AI 글쓰기·퀴즈 도구,운영 중(2026.7 확인),홈페이지 배너광장에 수업 도구 배너 게시,학교 홈페이지,https://school.jbedu.kr/ejbs,상,
69,전남과학고등학교,과학고,전남 나주,카피킬러 스쿨(무하유),표절검사·AI탐지,운영 중(2026.7 확인),학교 전용 카피킬러(jnsh.copykiller.com) — 표절검사·AI 생성 텍스트 탐지,학교 전용 플랫폼,https://jnsh.copykiller.com/,상,
70,전남과학고등학교,과학고,전남 나주,"전남형 미래교실 '2030교실'(R-보드, 생성형 AI)",미래교실·실시간 응답 도구,2026.5,전남교육청 '중등 2030교실 공개의 날' 운영 — R-보드·노트북·생성형 AI 활용 실시간 의견 공유·AI 윤리 토론 수업,언론보도,https://www.thefairnews.co.kr/news/articleView.html?idxno=77875,중,
71,전남과학고등학교,과학고,전남 나주,지능형과학실 기자재,지능형과학실(과학탐구 에듀테크),2023(공고),지능형과학실 ON 정책 연계 기자재 구매 수의견적 공고(이후 취소공고),조달공고,https://www.jungi.net/detail_bid/index/bid_pur7704490,중,"취소공고 — 재공고 여부 확인 필요 / 검증(2026.7.17): 공고 실존 확인, 공고 연도(2023)는 원공고 재확인 필요"
72,강원과학고등학교,과학고,강원 원주,카피킬러 스쿨(무하유),표절검사·AI탐지,운영 중(2026.7 확인),학교 전용 카피킬러 스쿨(kangwonsh.copykiller.com) — 표절검사·AI 탐지,학교 전용 플랫폼,https://kangwonsh.copykiller.com/,상,
73,강원과학고등학교,과학고,강원 원주,"구글 클래스룸, 독서로",LMS·독서교육 플랫폼,운영 중(2026.7 확인),홈페이지에 구글클래스룸 바로가기·독서로 링크 상시 게시,학교 홈페이지,https://kangwon-sh.gwe.hs.kr/main.do,상,
74,제주과학고등학교,과학고,제주,교보문고 전자도서관,전자도서관,운영 중(2026.7 확인),학교 전용 서브도메인(jejushs.dkyobobook.co.kr) 전자책도서관 운영,학교 홈페이지,https://school.jje.go.kr/jeju-s/main.do,상,
75,제주과학고등학교,과학고,제주,"바당(BADANG, 제주형 AI 교수학습 플랫폼)",AI 교수학습 플랫폼,2026.4~,"제주교육청이 도내 전 학교 수업·과제·평가 통합 AI 플랫폼으로 전면 확대, 학교 홈페이지 배너 게시",학교 홈페이지·언론보도,https://www.jejusori.net/news/articleView.html?idxno=501606,상,
76,제주과학고등학교,과학고,제주,"DBpia, KISS(한국학술정보), 독서로",학술DB·독서교육,운영 중(2026.7 확인),홈페이지에 학술 DB·독서 플랫폼 링크 게시(연구·독서활동 지원),학교 홈페이지,https://school.jje.go.kr/jeju-s/main.do,상,
77,충남반도체마이스터고등학교,마이스터고,충남 아산,반도체 실습기자재,첨단 실습장비,2025.9(공고),학교 직접 발주 '반도체실습기자재 구매 규격서'(나라장터 공고 R25BK01023709),조달공고,https://www.g2b.go.kr/pn/pnp/pnpe/UntyAtchFile/downloadFile.do?bidPbancNo=R25BK01023709&bidPbancOrd=000&fileType=&fileSeq=3,상,세부 품목은 로그인 필요
78,전남 관내 초·중·고(과학고·직업계고 포함),전 학교급,전남,전남메타스쿨 학생 평가 솔루션,평가·학습분석 플랫폼,2025.10(공고),"전남교육청창의융합교육원 발주, 기초금액 3.5억, 라이선스 1년 구독형",조달공고,https://www.bidpro.co.kr/n0_ipchal/konggo/svc/konggo_view.asp?num=2960293,상,
79,대구시교육청 관내 학생(대구과학고·대구일과학고 등 포함),전 학교급,대구,"대구학생전자도서관(교보문고, 소장형·구독형)",전자도서관,운영 중(2026.7 확인),교육청 단위 학생 전자도서관(dgelib.dkyobobook.co.kr 소장형 / dgelib-r 구독형) 운영,공식 서비스,https://dgelib.dkyobobook.co.kr/,상,학교 단위 활용 여부는 미특정
80,한성과학고등학교,과학고,서울,교보문고 전자도서관(한성교보전자도서관),전자도서관,운영 중(2026.7 확인),홈페이지 퀵메뉴에 학교 전용 서브도메인(hansung-shhs.dkyobobook.co.kr) 전자도서관 링크 상시 게시,학교 홈페이지(브라우저 확인),https://hansungsh.sen.hs.kr/,상,3차 브라우저 조사로 확인
81,한성과학고등학교,과학고,서울,DBpia,학술DB,운영 중(2026.7 확인),홈페이지 퀵메뉴 '논문검색'으로 DBpia 연결(R&E·과제연구 지원),학교 홈페이지(브라우저 확인),https://hansungsh.sen.hs.kr/,상,
82,울산과학고등학교,과학고,울산,북레일(bookrail) 전자책 도서관,전자도서관,운영 중(2026.7 확인),홈페이지 퀵메뉴 '전자책 도서관 서비스'로 북레일 연결,학교 홈페이지(브라우저 확인),https://school.use.go.kr/ushs-h,상,3차 브라우저 조사로 확인
83,울산과학고등학교,과학고,울산,"DBpia, KRpia, 독서로, 울산수업모아",학술DB·독서교육·수업자료 공유,운영 중(2026.7 확인),"홈페이지 퀵메뉴에 논문DB(DBpia·KRpia), 독서로, 교육청 수업자료 플랫폼(울산수업모아) 링크 게시",학교 홈페이지(브라우저 확인),https://school.use.go.kr/ushs-h,상,
84,울산과학고등학교,과학고,울산,지능형 과학실,지능형과학실(과학탐구 에듀테크),2026 완공,학교 행사앨범에 '2026학년도 지능형 과학실 완공' 게시 — 지능형과학실 ON 정책 연계 첨단 과학탐구 환경,학교 홈페이지(브라우저 확인),https://school.use.go.kr/ushs-h,상,
85,경산과학고등학교,과학고,경북 경산,"DBpia, 독서로, 경북독서친구, 경북교육청 전자도서관(구독형)",학술DB·독서·전자도서관,운영 중(2026.7 확인),"홈페이지 배너로 DBpia·독서로·경북독서친구 연결, 경북교육청 구독형 전자자료 서비스 안내 게시",학교 홈페이지(브라우저 확인),https://school.gyo6.net/gsshs,상,3차 브라우저 조사로 확인
86,인천비즈니스고등학교,특성화고,인천,노션(Notion),학교 협업 플랫폼(클라우드),2025,"KERIS 2025 연구·선도학교 우수사례집 최우수상 — 노션 기반 '학교 공유 플랫폼'으로 행정·수업·연수 자료 통합, 교사 활용률 73%, 전학년 408명·24학급 적용",KERIS 사례집 원문,https://www.keris.or.kr/main/ad/pblcte/selectPblcteETCInfo.do?mi=1142&pblcteSeq=13963,상,상업계(항공서비스·부사관경영·마케팅·콘텐츠디자인과)
