정식명,구분,제품 태그,표기,건수,제품 태그 없는 건수,근거
ChatGPT,개발사(해외),ChatGPT,CHAT GPT / CHATGPT / CHATGPT SUBSCRIPTION / Chat GPT / Chat GPT (생성형 인공지능) / ChatGPT / OPENAI *CHATGPT / OPENAI *CHATGPT SUBSCR / OPENAI*CHATGPT SUBSCR / Open AI ChatGPT / chatGPT / chatgpt / openAIchatGPT(챗지피티),277,0,해외 서비스 — 결제 표기가 곧 제품명(기존 VENDOR_RULES)
슈퍼스쿨,개발사,슈퍼스쿨,주식회사 슈퍼스쿨 / 주식회사 슈퍼스쿨이노베이션,79,10,단일 제품 96%
Zoom,개발사(해외),Zoom,ZOOM / ZOOM US / ZOOM(줌) / ZOOM.US / Zoom Video Communications / Zoom Video Communications Inc / Zoom Video Communications Inc. / zoom / zoom video communications inc.,178,37,해외 서비스 — 결제 표기가 곧 제품명(기존 VENDOR_RULES)
넷클래스,개발사,넷클래스,주식회사 넷클래스,65,17,단일 제품 98%
지니스쿨,개발사,지니스쿨,지니스쿨,55,36,단일 제품
타임리,개발사,타임리GPT,주식회사 타임리,54,45,단일 제품
금성출판사,개발사,,(주)금성출판사,33,1,AI교과서 외 교재 등
스쿨런,개발사,아이스크림 스쿨런,스쿨런,32,27,단일 제품
지학사,개발사,,(주)지학사 / 주식회사 지학사,34,0,AI교과서 외 교재 등
트라이디스,개발사,트라이디스,(주)트라이디스,26,6,단일 제품 95%
밀리의서재,개발사,밀리의서재,(주)밀리의서재 / 주식회사 케이티밀리의서재,29,17,단일 제품
Claude,개발사(해외),Claude,CLAUDE / CLAUDE.AI / CLAUDE.AI SUBSCRIPTION / claude,54,8,해외 서비스 — 결제 표기가 곧 제품명(기존 VENDOR_RULES)
리로스쿨,개발사,리로스쿨,주식회사 리로스쿨,21,0,단일 제품 100%
북크리에이터,개발사,북크리에이터(Bookcreator),북크리에이터,16,9,단일 제품
매쓰홀릭,개발사,매쓰홀릭T,주식회사 매쓰홀릭,11,3,단일 제품
Wordwall,개발사(해외),Wordwall,WORDWALL / Wordwall / wordwall,25,8,해외 서비스 — 결제 표기가 곧 제품명(기존 VENDOR_RULES)
북레일,개발사,북레일,(주)북레일 / 주식회사 북레일,12,0,단일 제품 100%
Gamma,개발사(해외),Gamma,GAMMA.APP,6,3,해외 서비스 — 결제 표기가 곧 제품명(기존 VENDOR_RULES)
Suno,개발사(해외),Suno,SUNO INC.,5,0,해외 서비스 — 결제 표기가 곧 제품명(기존 VENDOR_RULES)
한국크레아,제조·개발사,,주식회사 한국크레아,1047,1046,전자칠판 제조 — 본체·부속·수리 섞여 제품 특정 불가
아하,제조·개발사,,(주)아하 / 주식회사 아하 / 주식회사 아하정보통신 / (주)아하정보통신 / 아하정보통신,1594,1589,전자칠판 제조 (법인명 아하정보통신)
스마트엑세스,제조·개발사,,(주)스마트엑세스,661,655,넷서포트 스쿨 총판이나 기기·충전함이 대부분
오맥스,제조·개발사,,(주)오맥스,467,461,넷서포트 총판이나 전자칠판이 대부분
이솔정보통신,제조·개발사,,이솔정보통신 주식회사,405,404,전자칠판 제조
로보메이션,제조·개발사,,(주)로보메이션,509,348,햄스터·치즈스틱·포켓터틀 등 여러 로봇
마타에듀,제조·개발사,마타수학,마타에듀 주식회사,673,304,단일 제품 96%
현대아이티,제조·개발사,,(주)현대아이티,284,283,전자칠판 제조
이노소프트,제조·개발사,,주식회사 이노소프트,376,270,하드보안관·클래스M 두 제품
에어패스,제조·개발사,,(주)에어패스,271,268,XR스크린·VR스포츠실 제조
에누마코리아,제조·개발사,,주식회사 에누마코리아,671,264,토도한글·토도수학·토도영어
비주얼캠프,제조·개발사,리드포스쿨,주식회사 비주얼캠프,302,244,리드 문해력 진단 — 태그 있는 기록 대부분 리드포스쿨
제로엑스플로우,제조·개발사,원아워,주식회사 제로엑스플로우,401,243,단일 제품 91%(기존 VENDOR_RULES)
